config_id,n,mean_success,mean_detector_proxy_probability,std_detector_proxy_probability,mean_public_robust_log_distance,mean_public_robust_log_distance_norm,mean_overhead_norm,mean_praxis_score_phase17,std_praxis_score_phase17
default_c2_p1,50,1.0,0.48699999999999993,0.003912303982179752,14.986573700356644,0.5801145395723286,0.21517241379310345,0.4329487095399702,0.08731460307394076
camouflaged_c2_p1,50,1.0,0.488,0.0046291004988627754,15.155197632060588,0.6550243157581218,0.27560951918406995,0.4626389864745461,0.09420740236240997
baseline_default_off,50,1.0,1.0,0.0,14.740936094740473,0.4709920806569025,0.7845167557066537,0.6540730660152485,0.08455342278275019
