feature,logistic_coef,logistic_abs_coef,rf_feature_importance,rf_permutation_importance_mean,rf_permutation_importance_std
packet_count,-0.43217724039976146,0.43217724039976146,0.09193930117138346,0.0,0.0
out_packets,-0.42959965438050235,0.42959965438050235,0.10583059177063517,0.0,0.0
in_packets,-0.4320690081732551,0.4320690081732551,0.0963597389868841,0.0,0.0
unknown_packets,0.0,0.0,0.0,0.0,0.0
out_payload_bytes,0.05405405261330261,0.05405405261330261,0.001300849038025009,0.0,0.0
in_payload_bytes,0.45222211244232907,0.45222211244232907,0.11524464775876375,0.0,0.0
total_payload_bytes,0.2951950730423345,0.2951950730423345,0.00962423081581303,0.0,0.0
flow_duration_seconds,-0.45083967000789976,0.45083967000789976,0.10254667715394693,0.0,0.0
burst_count,-0.381145099481334,0.381145099481334,0.039568365272434174,0.0,0.0
len_1,0.0,0.0,0.0,0.0,0.0
len_2,0.0,0.0,0.0,0.0,0.0
len_3,0.0,0.0,0.0,0.0,0.0
len_4,-0.006955855358104925,0.006955855358104925,0.001358846939234867,0.0,0.0
len_5,0.0,0.0,0.0,0.0,0.0
len_6,-0.45075685680257455,0.45075685680257455,0.09257820729371162,0.0,0.0
len_7,0.0,0.0,0.0,0.0,0.0
len_8,0.4507568568025748,0.4507568568025748,0.07345575959933218,0.0,0.0
len_9,0.4507568568025749,0.4507568568025749,0.08012990135859403,0.0,0.0
len_10,0.0,0.0,0.0,0.0,0.0
len_11,-0.4507568568025749,0.4507568568025749,0.07561682558865997,0.0,0.0
len_12,0.0,0.0,0.0,0.0,0.0
len_13,-0.4507568568025749,0.4507568568025749,0.09708994303394032,0.0,0.0
len_14,0.0,0.0,0.0,0.0,0.0
len_15,-0.005793655795976692,0.005793655795976692,0.010788967126486894,0.0,0.0
len_16,0.06754936959995772,0.06754936959995772,0.00011924636298595906,0.0,0.0
len_17,-0.0980174001361364,0.0980174001361364,0.0036549249726966237,0.0,0.0
len_18,-0.05195777005931458,0.05195777005931458,3.3362294563026385e-18,0.0,0.0
len_19,-0.1368095344224751,0.1368095344224751,0.002706633145440873,0.0,0.0
len_20,0.05110573190443795,0.05110573190443795,8.634261103092575e-05,0.0,0.0
