public_baseline,config_id,n,public_baseline_rows,mean_detector_proxy_probability,mean_public_distance_norm,mean_overhead_norm,mean_success,mean_score,std_score,score_delta_vs_baseline,public_distance_delta_vs_baseline,detector_delta_vs_baseline
cicids2017_mapped,default_c2_p1,50,10000,0.4869999999999999,0.4055928938617632,0.2151724137931034,1.0,0.3718661335412723,0.0943174181485752,-0.3011837367032921,-0.1196186274503271,-0.5130000000000001
cicids2017_mapped,camouflaged_c2_p1,50,10000,0.488,0.4878142731709027,0.2756095191840699,1.0,0.4041154715690194,0.1015831602233971,-0.268934398675545,-0.0373972481411876,-0.512
cicids2017_mapped,baseline_default_off,50,10000,1.0,0.5252115213120904,0.7845167557066537,1.0,0.6730498702445644,0.0919081465672799,0.0,0.0,0.0
mawi_day1,default_c2_p1,50,10000,0.4869999999999999,0.5807497715106043,0.2151724137931034,1.0,0.4331710407183666,0.0872175670469313,-0.2207006421917152,0.1103330711541777,-0.5130000000000001
mawi_day1,camouflaged_c2_p1,50,10000,0.488,0.6555718727286771,0.2756095191840699,1.0,0.4628306314142404,0.0941060719122132,-0.1910410514958414,0.1851551723722506,-0.512
mawi_day1,baseline_default_off,50,10000,1.0,0.4704167003564265,0.7845167557066537,1.0,0.6538716829100819,0.0844601075017668,0.0,0.0,0.0
mawi_day1_day2,default_c2_p1,50,20000,0.4869999999999999,0.5786512894105528,0.2151724137931034,1.0,0.4324365719833485,0.0876163763558159,-0.2224510900485888,0.105331791563111,-0.5130000000000001
mawi_day1_day2,camouflaged_c2_p1,50,20000,0.488,0.6538706554503243,0.2756095191840699,1.0,0.4622352053668169,0.0945240310312543,-0.1926524566651204,0.1805511576028826,-0.512
mawi_day1_day2,baseline_default_off,50,20000,1.0,0.4733194978474417,0.7845167557066537,1.0,0.6548876620319374,0.0848654807930938,0.0,0.0,0.0
mawi_day2,default_c2_p1,50,10000,0.4869999999999999,0.5806866615819106,0.2151724137931034,1.0,0.4331489522433239,0.0875949131498794,-0.220495837604953,0.110918227116356,-0.5130000000000001
mawi_day2,camouflaged_c2_p1,50,10000,0.488,0.6556094623566223,0.2756095191840699,1.0,0.4628437877840213,0.094700894689102,-0.1908010020642556,0.1858410278910677,-0.512
mawi_day2,baseline_default_off,50,10000,1.0,0.4697684344655545,0.7845167557066537,1.0,0.6536447898482769,0.0849662148649422,0.0,0.0,0.0
mawi_plus_cicids_balanced,default_c2_p1,50,20000,0.4869999999999999,0.5331001577267254,0.2151724137931034,1.0,0.416493675894009,0.0890079324016541,-0.2552804246640713,0.011533692661732,-0.5130000000000001
mawi_plus_cicids_balanced,camouflaged_c2_p1,50,20000,0.488,0.6122084485060221,0.2756095191840699,1.0,0.4476534329363112,0.0936345417991058,-0.2241206676217692,0.0906419834410288,-0.512
mawi_plus_cicids_balanced,baseline_default_off,50,20000,1.0,0.5215664650649933,0.7845167557066537,1.0,0.6717741005580804,0.0847058962843384,0.0,0.0,0.0
