model_name,config_id,baseline_mean,candidate_mean,delta,pct_delta,bootstrap_95ci_low,bootstrap_95ci_high,permutation_p_two_sided
logistic,default_c2_p1,0.9953400411378868,0.9958219069795116,0.000481865841625,0.0484121829434433,-0.0004845299971199,0.0015325233221752,0.3532646735326467
logistic,camouflaged_c2_p1,0.9953400411378868,0.996484398413099,0.0011443572752123,0.1149714899346451,0.000159016198167,0.0021852659447426,0.0265973402659734
random_forest,default_c2_p1,0.9621996666505404,0.5803441025273977,-0.3818555641231428,-39.68568867337056,-0.4086132637536097,-0.3529297948567341,9.999000099990002e-05
random_forest,camouflaged_c2_p1,0.9621996666505404,0.6062666080476413,-0.3559330586028991,-36.991600697796734,-0.3846298832748335,-0.3265907152323031,9.999000099990002e-05
extra_trees,default_c2_p1,0.9947494283251388,0.8385889753436899,-0.1561604529814488,-15.698471246610964,-0.1606902926162796,-0.1514767871807734,9.999000099990002e-05
extra_trees,camouflaged_c2_p1,0.9947494283251388,0.8405022174666094,-0.1542472108585294,-15.50613717046671,-0.1600834264488803,-0.1485199177885722,9.999000099990002e-05
gradient_boosting,default_c2_p1,0.9999651526750792,0.9996785941019458,-0.0002865585731335,-0.028656855928123,-0.0002865585731335,-0.0002865585731335,9.999000099990002e-05
gradient_boosting,camouflaged_c2_p1,0.9999651526750792,0.9996785941019458,-0.0002865585731335,-0.028656855928123,-0.0002865585731335,-0.0002865585731335,9.999000099990002e-05
linear_svc_calibrated,default_c2_p1,0.956688248024082,0.9470094546317588,-0.0096787933923232,-1.0116977408590064,-0.0174032440077101,-0.001845456862869,0.0198980101989801
linear_svc_calibrated,camouflaged_c2_p1,0.956688248024082,0.9567328153541592,4.456733007707214e-05,0.0046585008406991,-0.0078816202102008,0.0077600619167194,0.992000799920008
