mode,target_fpr,threshold,empirical_public_fpr,config_id,n,mean_probability,min_probability,max_probability,detection_rate_at_threshold
strict_unseen,0.0,0.215821061708943,0.0,baseline_default_off,50,0.9597372575787566,0.888747920266685,0.9998835701330304,1.0
strict_unseen,0.0,0.215821061708943,0.0,default_c2_p1,50,0.666053082177642,0.5804972078982044,0.7675217057421679,1.0
strict_unseen,0.0,0.215821061708943,0.0,camouflaged_c2_p1,50,0.6778881237928513,0.5816042866619132,0.7675217057421679,1.0
strict_unseen,0.001,0.1240430913713404,0.0012808197246237,baseline_default_off,50,0.9597372575787566,0.888747920266685,0.9998835701330304,1.0
strict_unseen,0.001,0.1240430913713404,0.0012808197246237,default_c2_p1,50,0.666053082177642,0.5804972078982044,0.7675217057421679,1.0
strict_unseen,0.001,0.1240430913713404,0.0012808197246237,camouflaged_c2_p1,50,0.6778881237928513,0.5816042866619132,0.7675217057421679,1.0
strict_unseen,0.005,0.0736707320275467,0.005123278898495,baseline_default_off,50,0.9597372575787566,0.888747920266685,0.9998835701330304,1.0
strict_unseen,0.005,0.0736707320275467,0.005123278898495,default_c2_p1,50,0.666053082177642,0.5804972078982044,0.7675217057421679,1.0
strict_unseen,0.005,0.0736707320275467,0.005123278898495,camouflaged_c2_p1,50,0.6778881237928513,0.5816042866619132,0.7675217057421679,1.0
strict_unseen,0.01,0.0506426828605927,0.01024655779699,baseline_default_off,50,0.9597372575787566,0.888747920266685,0.9998835701330304,1.0
strict_unseen,0.01,0.0506426828605927,0.01024655779699,default_c2_p1,50,0.666053082177642,0.5804972078982044,0.7675217057421679,1.0
strict_unseen,0.01,0.0506426828605927,0.01024655779699,camouflaged_c2_p1,50,0.6778881237928513,0.5816042866619132,0.7675217057421679,1.0
strict_unseen,0.05,0.0087277114550626,0.0515529939161063,baseline_default_off,50,0.9597372575787566,0.888747920266685,0.9998835701330304,1.0
strict_unseen,0.05,0.0087277114550626,0.0515529939161063,default_c2_p1,50,0.666053082177642,0.5804972078982044,0.7675217057421679,1.0
strict_unseen,0.05,0.0087277114550626,0.0515529939161063,camouflaged_c2_p1,50,0.6778881237928513,0.5816042866619132,0.7675217057421679,1.0
baseline_known,0.0,0.2752196063081583,0.0,baseline_default_off,50,0.9980227836996404,0.9454926480296756,1.0,1.0
baseline_known,0.0,0.2752196063081583,0.0,default_c2_p1,50,0.6630925813818735,0.5930836103752907,0.751847924553857,1.0
baseline_known,0.0,0.2752196063081583,0.0,camouflaged_c2_p1,50,0.6648647558393924,0.5765227895695358,0.7518843724143306,1.0
baseline_known,0.001,0.146154761745216,0.0012808197246237,baseline_default_off,50,0.9980227836996404,0.9454926480296756,1.0,1.0
baseline_known,0.001,0.146154761745216,0.0012808197246237,default_c2_p1,50,0.6630925813818735,0.5930836103752907,0.751847924553857,1.0
baseline_known,0.001,0.146154761745216,0.0012808197246237,camouflaged_c2_p1,50,0.6648647558393924,0.5765227895695358,0.7518843724143306,1.0
baseline_known,0.005,0.0811390685064892,0.005123278898495,baseline_default_off,50,0.9980227836996404,0.9454926480296756,1.0,1.0
baseline_known,0.005,0.0811390685064892,0.005123278898495,default_c2_p1,50,0.6630925813818735,0.5930836103752907,0.751847924553857,1.0
baseline_known,0.005,0.0811390685064892,0.005123278898495,camouflaged_c2_p1,50,0.6648647558393924,0.5765227895695358,0.7518843724143306,1.0
baseline_known,0.01,0.0596816810487876,0.01024655779699,baseline_default_off,50,0.9980227836996404,0.9454926480296756,1.0,1.0
baseline_known,0.01,0.0596816810487876,0.01024655779699,default_c2_p1,50,0.6630925813818735,0.5930836103752907,0.751847924553857,1.0
baseline_known,0.01,0.0596816810487876,0.01024655779699,camouflaged_c2_p1,50,0.6648647558393924,0.5765227895695358,0.7518843724143306,1.0
baseline_known,0.05,0.008,0.0505923791226384,baseline_default_off,50,0.9980227836996404,0.9454926480296756,1.0,1.0
baseline_known,0.05,0.008,0.0505923791226384,default_c2_p1,50,0.6630925813818735,0.5930836103752907,0.751847924553857,1.0
baseline_known,0.05,0.008,0.0505923791226384,camouflaged_c2_p1,50,0.6648647558393924,0.5765227895695358,0.7518843724143306,1.0
