public_baseline,winner,winner_score,default_c2_p1_score,default_c2_p1_score_delta_vs_baseline,default_c2_p1_public_distance_delta_vs_baseline
cicids2017_mapped,default_c2_p1,0.3718661335412723,0.3718661335412723,-0.3011837367032921,-0.1196186274503271
mawi_day1,default_c2_p1,0.4331710407183666,0.4331710407183666,-0.2207006421917152,0.1103330711541777
mawi_day1_day2,default_c2_p1,0.4324365719833485,0.4324365719833485,-0.2224510900485888,0.105331791563111
mawi_day2,default_c2_p1,0.4331489522433239,0.4331489522433239,-0.220495837604953,0.110918227116356
mawi_plus_cicids_balanced,default_c2_p1,0.416493675894009,0.416493675894009,-0.2552804246640713,0.011533692661732
