source_dataset,public_ground_truth,session_id,client_endpoint,server_endpoint,pcap_size_bytes,packet_count,out_packets,in_packets,unknown_packets,out_payload_bytes,in_payload_bytes,total_payload_bytes,flow_duration_seconds,burst_count,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000209,202.96.58.152.49801,131.241.36.40.443,79751606,9,4,5,0,0,0,0,0.822364,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000210,120.84.234.155.5887,150.129.7.132.443,79751606,238,238,0,0,0,0,0,8.112289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000211,92.138.204.179.7055,163.208.22.169.443,79751606,17,0,17,0,0,16515,16515,6.363862,1,-2041,-2044,-1937,-1960,-1978,-2056,-2212,0,0,0,-2063,0,0,-56,-56,-56,-56,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000212,120.84.229.43.24268,150.129.7.132.443,79751606,292,292,0,0,0,0,0,7.96679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000213,126.33.92.71.13116,157.82.64.176.443,79751606,158,158,0,0,35119,0,35119,8.134943,1,0,175,139,0,175,139,139,103,0,103,139,0,242,103,139,139,0,103,0,103
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000214,150.129.232.231.58758,182.27.22.252.443,79751606,159,61,98,0,8612,525145,533757,6.814242,52,0,0,0,0,473,-7240,-7922,0,0,0,0,333,-8688,-3955,0,295,-7937,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000215,120.84.234.231.4779,150.129.7.132.443,79751606,254,254,0,0,0,0,0,8.086804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000216,157.82.4.195.41172,170.82.251.163.443,79751606,7,7,0,0,2209,0,2209,0.392385,1,0,0,0,126,0,2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000217,120.84.230.225.47874,150.129.7.132.443,79751606,278,278,0,0,0,0,0,8.123988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000218,202.96.58.148.51942,104.23.160.146.443,79751606,38,17,21,0,330,5317,5647,7.195905,27,-377,0,66,0,-377,-268,0,-186,-266,0,-251,-266,0,-267,66,0,0,-251,0,-255
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000219,133.11.71.101.61862,43.252.84.163.443,79751606,8,0,8,0,0,609,609,0.276819,1,0,0,-154,0,0,-455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000220,14.45.199.176.37206,202.105.20.67.22,79751606,11,5,6,0,188,104,292,2.405845,7,52,0,-52,84,0,-52,52,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000221,150.129.1.63.43452,34.198.230.104.443,79751606,110,67,43,0,128792,668,129460,5.704387,20,0,2896,1448,2896,2896,1448,4344,1448,2896,2896,1448,1448,0,2896,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000222,202.96.58.152.49806,23.48.244.64.443,79751606,6,0,6,0,0,72,72,0.645484,1,-24,0,0,-24,0,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000223,120.84.229.24.23643,150.129.7.132.443,79751606,309,309,0,0,0,0,0,8.117966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000224,66.142.70.117.23823,150.129.7.132.443,79751606,36,23,13,0,354,40946,41300,0.594259,7,0,0,126,0,-290,228,-1452,-5808,-961,-9481,-1174,0,0,0,-7260,-5808,-2904,-1452,-1730,-2626
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000225,120.84.229.26.15443,150.129.7.132.443,79751606,280,280,0,0,0,0,0,8.120135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000226,202.96.58.221.15278,23.200.22.168.443,79751606,11,0,11,0,0,4742,4742,0.034043,1,0,0,-3742,0,-303,-303,0,-370,-24,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000227,120.84.229.9.9779,150.129.7.132.443,79751606,259,259,0,0,0,0,0,8.127599,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000228,120.84.229.69.10490,150.129.7.132.443,79751606,231,231,0,0,0,0,0,8.129896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000229,120.84.234.47.13816,150.129.7.132.443,79751606,292,292,0,0,0,0,0,8.055973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000230,150.129.105.111.34708,203.10.129.162.80,79751606,424,207,217,0,22380,7492,29872,4.270642,276,-50,446,122,0,0,334,209,0,204,335,0,332,206,0,444,97,0,443,95,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000231,133.11.155.200.60853,52.41.21.140.443,79751606,2126,2126,0,0,5758,0,5758,8.135558,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000232,150.129.22.46.52405,13.70.25.235.443,79751606,18,18,0,0,1500,0,1500,0.144516,1,0,0,520,148,151,152,151,153,0,0,0,0,0,0,0,0,225,0,0,0
