config_id,n,mean_success,mean_detector_proxy_probability,mean_public_robust_log_distance_norm,mean_overhead_norm,mean_praxis_score_phase17
default_c2_p1,50,1.0,0.4869999999999999,0.5801145395723286,0.2151724137931034,0.4329487095399702
camouflaged_c2_p1,50,1.0,0.488,0.6550243157581218,0.2756095191840699,0.4626389864745461
baseline_default_off,50,1.0,1.0,0.4709920806569025,0.7845167557066537,0.6540730660152485
